id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13
94065540,パッチワーク探索 おとぎ博物館,パッチワーク探索 おとぎ博物館,次期当主会議,涙石,歯車,種,術魔,騎輝,ラビット,リーブス,,,,,
94065541,パッチワーク探索 ロンドン塔,パッチワーク探索 ロンドン塔,次期当主会議,鏡,歯車,ランタン,術秘,術魔,術輝,クロック,ラビット,,,,
94065542,パッチワーク探索 蒸気城,パッチワーク探索 蒸気城,次期当主会議,ランタン,鎖,騎魔,騎輝,クロック,リーブス,,,,,,
94065543,記憶再演 『無人島漂流記』,記憶再演 『無人島漂流記』,次期当主会議,貝殻,剣輝,クロック,ラビット,リーブス,,,,,,,
94065544,記憶再演 『お菓子の国』,記憶再演 『お菓子の国』,次期当主会議,八連,狂輝,剣モ,狂モ,クロック,リーブス,,,,,,
94065545,記憶再演 『庭の手入れ』,記憶再演 『庭の手入れ』,次期当主会議,神酒,塵,火薬,殺秘,殺魔,殺輝,殺モ,狂モ,ラビット,リーブス,,
94065546,記憶再演 『まわる！　ONILAND！！ロケ』,記憶再演 『まわる！　ONILAND！！ロケ』,次期当主会議,心臓,証,術秘,術輝,狂輝,騎モ,術モ,殺モ,狂モ,クロック,ラビット,リーブス
94065547,記憶再演 『サイレントフィールド』,記憶再演 『サイレントフィールド』,次期当主会議,貝殻,塵,鎖,剣魔,剣輝,剣モ,狂モ,クロック,ラビット,,,
94065548,記憶再演 『偽美術館巡り』,記憶再演 『偽美術館巡り』,次期当主会議,爪,八連,狂魔,狂輝,狂モ,リーブス,,,,,,
94065549,記憶再演 『不敬なクリスマス』,記憶再演 『不敬なクリスマス』,次期当主会議,ランプ,頁,術秘,術魔,術モ,クロック,ラビット,リーブス,,,,
94065550,記憶再演 『旅立ちの墓場』,記憶再演 『旅立ちの墓場』,次期当主会議,幼角,羽根,槍魔,騎魔,騎輝,騎モ,ラビット,,,,,
94065551,記憶再演 『チョコレートガーデンの女帝』,記憶再演 『チョコレートガーデンの女帝』,次期当主会議,塵,牙,殺輝,殺モ,クロック,,,,,,,
94036670,管制室 バルバトス 制圧戦,管制室 バルバトス 制圧戦,次期当主会議,逆鱗,心臓,ホム,頁,歯車,ランタン,塵,骨,殺秘,殺魔,殺輝,
